2021-09-17 02:37:34,256 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='4', did='d1', grain_alpha='10', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09170237')
2021-09-17 02:37:34,272 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-17 02:37:35,293 - INFO - Finish generate valuations and costs using using a=2
2021-09-17 02:37:36,077 - INFO - load: budget=4; scheme=(0.1,0.06000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,078 - INFO - load: budget=4; scheme=(0.1,0.07); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,078 - INFO - load: budget=4; scheme=(0.1,0.08000000000000002); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,078 - INFO - load: budget=4; scheme=(0.1,0.09000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,078 - INFO - load: budget=4; scheme=(0.1,0.1); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,078 - INFO - load: budget=4; scheme=(0.2,0.0); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,078 - INFO - load: budget=4; scheme=(0.2,0.020000000000000004); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,078 - INFO - load: budget=4; scheme=(0.2,0.04000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,079 - INFO - load: budget=4; scheme=(0.2,0.06000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,079 - INFO - load: budget=4; scheme=(0.2,0.08000000000000002); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,080 - INFO - load: budget=4; scheme=(0.2,0.1); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,085 - INFO - compute: budget=4; scheme=(0.2,0.12000000000000002); tilderR=(55) tilderS=(1); result=({168}, 631); rev=50.47999999999999
2021-09-17 02:37:36,090 - INFO - compute: budget=4; scheme=(0.2,0.14); tilderR=(55) tilderS=(2); result=({168, 125}, 1093); rev=65.58
2021-09-17 02:37:36,091 - INFO - load: budget=4; scheme=(0.2,0.16000000000000003); tilderR=(55) tilderS=(2); result=({168, 125}, 1093); rev=43.71999999999998
2021-09-17 02:37:36,095 - INFO - compute: budget=4; scheme=(0.2,0.18000000000000002); tilderR=(55) tilderS=(3); result=({168, 125, 46}, 1770); rev=35.399999999999984
2021-09-17 02:37:36,096 - INFO - load: budget=4; scheme=(0.2,0.2); tilderR=(55) tilderS=(3); result=({168, 125, 46}, 1770); rev=0.0
2021-09-17 02:37:36,098 - INFO - compute: budget=4; scheme=(0.30000000000000004,0.0); tilderR=(54) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,099 - INFO - load: budget=4; scheme=(0.30000000000000004,0.030000000000000006); tilderR=(54) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,099 - INFO - load: budget=4; scheme=(0.30000000000000004,0.06000000000000001); tilderR=(54) tilderS=(0); result=(set(), 0); rev=0.0
