p	alpha	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4
p	alpha	brute	brute	brute	brute	greedy	greedy	greedy	greedy	h1	h1	h1	h1	brute	brute	brute	brute	greedy	greedy	greedy	greedy	h1	h1	h1	h1	brute	brute	brute	brute	greedy	greedy	greedy	greedy	h1	h1	h1	h1	brute	brute	brute	brute	greedy	greedy	greedy	greedy	h1	h1	h1	h1
p	alpha	M	increase	rev	sw	M	increase	rev	sw	M	increase	rev	sw	M	increase	rev	sw	M	increase	rev	sw	M	increase	rev	sw	M	increase	rev	sw	M	increase	rev	sw	M	increase	rev	sw	M	increase	rev	sw	M	increase	rev	sw	M	increase	rev	sw
0.0	0.0	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{155}	1061	0.0	720.8878787878791	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155}	1434	0.0	972.0454545454546	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155, 46}	2141	0.0	1463.2696969696974	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 46, 155, 70}	2501	0.0	1712.7545454545461
0.0	0.05	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{155}	1061	0.0	720.8878787878791	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155}	1434	0.0	972.0454545454546	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155, 46}	2141	0.0	1463.2696969696974	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 46, 155, 70}	2501	0.0	1712.7545454545461
0.0	0.1	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{155}	1061	0.0	720.8878787878791	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155}	1434	0.0	972.0454545454546	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155, 46}	2141	0.0	1463.2696969696974	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 46, 155, 70}	2501	0.0	1712.7545454545461
0.0	0.15000000000000002	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{155}	1061	0.0	720.8878787878791	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155}	1434	0.0	972.0454545454546	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155, 46}	2141	0.0	1463.2696969696974	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 46, 155, 70}	2501	0.0	1712.7545454545461
0.0	0.2	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{155}	1061	0.0	720.8878787878791	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155}	1434	0.0	972.0454545454546	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155, 46}	2141	0.0	1463.2696969696974	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 46, 155, 70}	2501	0.0	1712.7545454545461
0.0	0.25	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{155}	1061	0.0	720.8878787878791	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155}	1434	0.0	972.0454545454546	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155, 46}	2141	0.0	1463.2696969696974	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 46, 155, 70}	2501	0.0	1712.7545454545461
0.0	0.30000000000000004	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{155}	1061	0.0	720.8878787878791	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155}	1434	0.0	972.0454545454546	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155, 46}	2141	0.0	1463.2696969696974	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 46, 155, 70}	2501	0.0	1712.7545454545461
0.0	0.35000000000000003	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{155}	1061	0.0	720.8878787878791	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155}	1434	0.0	972.0454545454546	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155, 46}	2141	0.0	1463.2696969696974	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 46, 155, 70}	2501	0.0	1712.7545454545461
0.0	0.4	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{155}	1061	0.0	720.8878787878791	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155}	1434	0.0	972.0454545454546	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155, 46}	2141	0.0	1463.2696969696974	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 46, 155, 70}	2501	0.0	1712.7545454545461
0.0	0.45	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{155}	1061	0.0	720.8878787878791	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155}	1434	0.0	972.0454545454546	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155, 46}	2141	0.0	1463.2696969696974	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 46, 155, 70}	2501	0.0	1712.7545454545461
0.0	0.5	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{155}	1061	0.0	720.8878787878791	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155}	1434	0.0	972.0454545454546	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 155, 46}	2141	0.0	1463.2696969696974	{53}	821	0.0	562.2787878787877	{53}	562.2787878787877	0.0	562.2787878787877	{168, 46, 155, 70}	2501	0.0	1712.7545454545461
